variant,date,param,kind,unit,value_conc,below_lod,raw,pumped_volume_l,lab_no,source_file,treatment,treatment_group,treatment_group_label,soil,sensor,phase,experiment_start_date,days
000.A,2022-08-01,Ca,ion,umol/l,2744.6479365237788,False,110,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,Cl,ion,umol/l,2369.3340478943956,False,84,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,DOC,ion,umol/l,657.7304137873616,False,7.9,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,EC_field_uS_per_cm_25degC,direct,uS/cm,840.0,False,840,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,EC_lab_uS_per_cm_25degC,direct,uS/cm,839.0,False,839,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,Fe,ion,umol/l,0.0,True,"<0,005",5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,HCO3,ion,umol/l,4211.940934493666,False,257,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,HCO3_hardness_dH,direct,dH,11.8,False,11.8,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,K,ion,umol/l,186.7103176633076,False,7.3,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,Kb8.2_mmol_per_l,direct,mmol/l,0.44,False,0.44,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
