variant,treatment,treatment_label,treatment_group,treatment_group_label,soil,soil_name,sensor,phase,experiment_start_date,date,days,TA_umol_per_l,sampling_interval_days,rain_interval_mm,temp_mean_interval_C,rain_interval_onsite_mm,temp_mean_interval_onsite_C,TA_flux_mmol_per_m2_pumped,TA_cum_mmol_per_m2_pumped,TA_CO2_t_per_ha_per_yr_pumped,TA_CO2cum_t_per_ha_pumped,TA_flux_mmol_per_m2_avgBD,TA_cum_mmol_per_m2_avgBD,TA_CO2_t_per_ha_per_yr_avgBD,TA_CO2cum_t_per_ha_avgBD,TA_flux_mmol_per_m2_dumpmodel,TA_cum_mmol_per_m2_dumpmodel,TA_CO2_t_per_ha_per_yr_dumpmodel,TA_CO2cum_t_per_ha_dumpmodel
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2025-12-15,1310,3884.163429863808,82.0,92.9,6.917073170731709,91.9,7.129268292682928,373.1092949869175,3026.0160880626736,0.7313982906420362,1.3317194201955018,373.1092949869175,4205.5983412432115,0.7313982906420362,1.8508417739977248,373.1092949869175,4394.156163052677,0.7313982906420362,1.9338241857978524
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2026-02-25,1382,2654.9977875018435,72.0,120.2,0.9611111111111108,61.8,1.2208333333333334,359.6671879620724,3385.683276024746,0.8029713463475129,1.4900053529457304,359.6671879620724,4565.265529205284,0.8029713463475129,2.0091277067479534,359.6671879620724,4753.823351014749,0.8029713463475129,2.092110118548081
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-06-20,36,2392.775783797958,36.0,39.099999999999994,17.861111111111114,37.2,,5.489869535672486,5.489869535672486,0.0245127055226176,0.0024160366839541,5.489869535672486,5.489869535672486,0.0245127055226176,0.0024160366839541,5.489869535672486,5.489869535672486,0.0245127055226176,0.0024160366839541
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-07-05,51,2228.887031483029,15.0,8.4,21.12666666666667,13.4,,5.489869535672486,10.979739071344971,0.0588304932542824,0.0048320733679082,5.489869535672486,10.979739071344971,0.0588304932542824,0.0048320733679082,5.489869535672486,10.979739071344971,0.0588304932542824,0.0048320733679082
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-07-18,64,3408.8860481505153,13.0,5.1,18.661538461538463,3.1999999999999997,,36.943592640054845,47.92333171139982,0.4568014770332518,0.0210905790528699,36.943592640054845,47.92333171139982,0.4568014770332518,0.0210905790528699,36.943592640054845,47.92333171139982,0.4568014770332518,0.0210905790528699
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-08-01,78,4129.996558336202,14.0,8.1,22.73571428571429,8.0,,106.8102558190397,154.7335875304395,1.22635623805802,0.0680967045362711,106.8102558190397,154.7335875304395,1.22635623805802,0.0680967045362711,106.8102558190397,154.7335875304395,1.22635623805802,0.0680967045362711
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-08-16,93,5031.384696068309,15.0,2.4,22.246666666666663,2.8000000000000007,,30.981432857563476,185.71502038800296,0.3320029674460424,0.0817313233225562,30.981432857563476,185.71502038800296,0.3320029674460424,0.0817313233225562,30.981432857563476,185.71502038800296,0.3320029674460424,0.0817313233225562
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-08-30,107,5621.384204402052,14.0,77.0,20.00714285714286,29.000000000000004,,609.2140517085967,794.9290720965996,6.994772617071668,0.3498403353389925,609.2140517085967,794.9290720965996,6.994772617071668,0.3498403353389925,609.2140517085967,794.9290720965996,6.994772617071668,0.3498403353389925
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-09-13,121,5424.717701624138,14.0,34.8,17.264285714285716,21.4,,80.16824189592322,875.0973139925229,0.920462391830396,0.3851215769149694,80.16824189592322,875.0973139925229,0.920462391830396,0.3851215769149694,80.16824189592322,875.0973139925229,0.920462391830396,0.3851215769149694
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-10-11,149,5670.55083009653,28.0,82.9,10.832142857142856,76.6,,118.7184287089175,993.8157427014404,0.681540758905638,0.4373683702054768,118.7184287089175,993.8157427014404,0.681540758905638,0.4373683702054768,118.7184287089175,993.8157427014404,0.681540758905638,0.4373683702054768
