date,pot,soil_moisture_30cm_pct,soil_moisture_60cm_pct,soil_ec_30cm,soil_ec_60cm,soil_ph_30cm,soil_ph_60cm
2025-08-20,000.A,,21.54782051282051,,96.5448717948718,,
2025-08-27,000.A,,20.91622950819672,,91.47540983606558,,
2025-10-22,000.A,,24.08207920792081,,99.67326732673267,,
2025-10-29,000.A,,24.75119047619046,,101.9285714285714,,
2025-11-05,000.A,,24.88095808383236,,101.059880239521,,
2025-11-12,000.A,,24.70189024390244,,97.9939024390244,,
2025-11-19,000.A,,24.7571686746988,,96.02409638554217,,
2025-11-26,000.A,,25.10648809523809,,92.01785714285714,,
2025-12-03,000.A,,25.13185628742519,,91.32335329341318,,
2025-12-10,000.A,,25.19408536585365,,92.29878048780488,,
2025-12-17,000.A,,24.92412121212124,,91.04848484848485,,
2025-12-24,000.A,,24.71910179640716,,87.5688622754491,,
2025-12-30,000.A,,24.59554621848741,,84.1344537815126,,
2022-05-04,000.B,4.299649532710277,5.326503496503494,,,,
2022-05-11,000.B,22.55149700598803,33.10204819277106,112.7425149700599,171.2650602409639,6.207142857142846,6.842837301587307
2022-05-18,000.B,22.31041666666666,33.57238095238095,114.1071428571429,166.6130952380952,6.146547619047618,6.975892857142866
2022-05-25,000.B,22.64952095808385,33.38357142857141,128.2035928143713,164.4940476190476,6.143333333333325,6.885478087649389
2022-06-01,000.B,23.00440476190475,33.31421686746988,139.3154761904762,164.4397590361446,6.133869047619048,6.88357142857146
2022-06-08,000.B,22.69132530120481,33.05773809523811,142.5060240963855,165.3035714285714,6.076666666666679,6.742996031746006
2022-06-15,000.B,19.85214285714285,29.84497005988023,98.5,143.8802395209581,6.015297619047623,6.159403578528833
2022-06-22,000.B,17.2007738095238,27.27744047619046,69.73809523809524,126.9107142857143,6.053772455089816,6.24242000000003
2022-06-29,000.B,19.40369047619048,28.83688622754491,88.79761904761905,145.7844311377245,6.124578313253013,6.251357285429124
2022-07-06,000.B,15.77940476190475,24.38143712574851,65.36309523809524,110.7604790419162,6.294491017964069,6.196247504990044
2022-07-13,000.B,17.75682634730538,25.17886904761905,82.8562874251497,118.0714285714286,5.789341317365262,6.123399602385685
2022-07-20,000.B,18.90892857142857,24.72690476190477,107.25,137.4761904761905,5.647202380952377,6.172936507936532
2022-07-27,000.B,18.62718562874252,25.15267857142856,110.5329341317365,173.8511904761905,5.64011904761905,6.263650793650821
2022-08-03,000.B,17.16755952380952,18.69407185628743,104.0476190476191,126.6107784431138,5.518392857142855,6.166912350597618
2022-08-10,000.B,20.26041666666667,25.00571428571428,126.4345238095238,235.8809523809524,5.569999999999999,6.431746031746018
2022-08-17,000.B,19.80565476190474,23.3579761904762,134.7559523809524,197.7857142857143,5.654166666666671,6.565654761904725
2022-08-24,000.B,21.43238095238095,27.72636904761906,123.5,251.9047619047619,6.17481927710844,6.482360000000017
2022-08-31,000.B,18.40696428571428,24.80284023668639,87.67261904761905,163.508875739645,6.21714285714287,6.417837301587289
2022-09-07,000.B,18.94297619047619,24.96229411764707,98.20238095238095,207.9176470588235,6.18745562130178,6.484079207920761
2022-09-14,000.B,21.25134502923977,28.03894736842104,123.3567251461988,211.2397660818714,6.363040935672525,6.477288801571692
2022-09-21,000.B,21.46034883720932,28.32166666666667,112.7093023255814,188.0238095238095,6.529171597633126,6.457213438735154
2022-09-28,000.B,21.71017857142857,28.425,105.7857142857143,183.6867469879518,6.582619047619055,6.477698412698426
2022-10-05,000.B,21.68301204819278,28.48809523809524,100.5722891566265,165.1488095238095,6.602891566265068,6.463737574552711
2022-10-12,000.B,20.85232142857145,27.6685542168675,90.19047619047619,169.0060240963855,6.609047619047628,6.472099009900992
2022-10-19,000.B,21.73550898203593,28.36366863905325,102.1916167664671,186.508875739645,6.596309523809532,6.457801980198025
2022-10-26,000.B,22.04791411042944,28.70394957983193,108.7975460122699,187.0084033613445,6.625999999999999,6.458785425101211
2022-11-02,000.B,21.35962499999998,28.37325153374236,103.80625,190.478527607362,6.629567901234567,6.452871900826477
2022-11-09,000.B,21.63042944785275,28.63090909090905,110.361963190184,197.3939393939394,6.645094339622628,6.46778904665313
2022-11-16,000.B,22.31920245398775,29.19888888888888,121.1963190184049,192.1172839506173,6.658481012658223,6.499442148760349
2022-11-23,000.B,22.65371794871795,29.47980519480517,124.4294871794872,179.2402597402597,6.617948717948726,6.516394849785452
2022-11-30,000.B,22.31496855345913,29.55654320987653,113.2138364779874,182.4691358024691,6.593975155279512,6.493970276008422
2022-12-07,000.B,22.38670731707317,29.76450000000003,107.1585365853659,180.55625,6.669815950920232,6.496938775510242
2022-12-14,000.B,22.0260975609756,29.74074074074071,97.5548780487805,175.7283950617284,6.661515151515147,6.495282258064438
2022-12-21,000.B,23.05946107784431,29.8406666666667,99.64670658682634,163.2181818181818,6.674049079754606,6.495362903225828
2022-12-28,000.B,23.63767295597484,30.00108433734939,99.81132075471699,130.9277108433735,6.733475609756102,6.481963562753013
2023-01-04,000.B,23.50734567901234,30.01228395061727,100.4567901234568,127.8641975308642,6.764472049689429,5.894432989690742
2023-01-11,000.B,23.72468354430379,30.05602484472052,101.6835443037975,124.7763975155279,6.769629629629619,5.101552795031018
2023-01-18,000.B,23.75952095808383,30.10654545454549,95.94610778443113,118.8848484848485,6.764749999999999,5.09488752556233
2023-01-25,000.B,23.36101796407183,30.07218181818189,91.04191616766467,116.5454545454545,6.718181818181842,5.084457831325261
2023-02-01,000.B,23.83254545454546,30.15608433734938,87.89090909090909,113.6204819277108,6.796303030303029,5.079012096774163
2023-02-08,000.B,23.48719512195122,30.26736196319014,82.59146341463415,105.8588957055215,6.723192771084364,5.076619433198389
2023-02-15,000.B,22.84619631901839,30.18374999999999,81.03067484662577,105.875,6.657300613496925,5.074799196787131
2023-02-22,000.B,22.8064457831325,30.2355487804878,83.25903614457832,111.0426829268293,6.674024390243924,5.100691056910552
2023-03-01,000.B,22.72482142857138,30.49466257668715,81.82142857142857,112.4110429447853,6.69896341463416,5.07790322580643
2023-03-08,000.B,23.33372670807453,30.65706249999997,82.79503105590062,111.74375,6.740126582278489,5.083133732534922
2023-03-15,000.B,24.07341614906832,31.26060240963854,89.38509316770187,112.6867469879518,6.714049079754599,5.088778004073293
2023-03-22,000.B,23.22944099378881,32.09288343558283,92.31055900621118,124.6687116564417,6.730670731707322,5.138065173116133
2023-03-29,000.B,24.06835443037974,32.94608974358974,97.43037974683544,129.3974358974359,6.678518518518515,5.134028629856851
2023-04-05,000.B,23.55592592592593,33.78230303030305,95.82098765432099,132.8484848484848,6.736484848484856,5.15831275720168
2023-04-12,000.B,22.71554878048781,34.1458282208589,90.8719512195122,137.8220858895706,6.73863354037268,5.196597510373464
2023-04-19,000.B,23.04611940298506,34.74696969696969,97.43283582089552,143.0833333333333,6.59808333333335,5.232975871313681
2023-04-26,000.B,22.44527272727276,35.14850299401198,94.43636363636364,147.4670658682635,6.555802469135795,
2023-05-03,000.B,22.10904191616769,35.49295180722896,94.7185628742515,151.1084337349398,6.563554216867479,6.310833333333335
2023-05-10,000.B,22.33451219512196,35.78430303030304,97.72560975609755,155.1212121212121,6.625636363636374,6.293333333333333
2023-05-17,000.B,22.79734939759036,36.51981595092025,101.4638554216867,161.8282208588957,6.61539393939394,
2023-05-24,000.B,21.77101796407186,36.59122699386505,95.34131736526946,166.6503067484662,6.568231707317058,
2023-05-31,000.B,20.08481927710843,30.90469879518072,83.75903614457832,132.1325301204819,6.486012269938665,
2023-06-07,000.B,18.11072289156626,25.25527950310559,72.96385542168674,96.88819875776397,6.386415094339632,
2023-06-14,000.B,16.96051282051283,23.52815789473683,68.09615384615384,89.23026315789474,6.319371069182387,
2023-06-21,000.B,15.59597560975608,21.20533333333333,61.39634146341464,79.52727272727273,6.046474358974357,
2023-06-28,000.B,13.83640718562875,15.94493902439025,52.97604790419162,60.33536585365854,5.654907975460121,
2023-07-05,000.B,12.27686746987951,11.77591463414634,45.18072289156626,47.71951219512195,5.355214723926376,
2023-07-12,000.B,11.03347826086956,10.34889570552148,38.6583850931677,42.2760736196319,5.029378881987584,
2023-07-19,000.B,10.59214285714285,9.772025316455704,34.7012987012987,,4.947612903225802,
2023-07-26,000.B,14.94160714285714,9.674879518072272,58.54761904761905,,5.315939393939397,
2023-08-02,000.B,22.10649999999999,19.03197530864198,106.3125,80.26543209876543,6.330914634146333,
2023-08-09,000.B,22.53809815950922,25.97939393939396,106.0184049079755,115.4,6.324311377245509,
2023-08-16,000.B,21.04872611464969,24.82456953642384,94.4267515923567,108.9006622516556,6.266470588235292,
2023-08-23,000.B,19.926875,23.34666666666666,86.03125,99.54545454545455,6.2228125,
2023-09-06,000.B,19.776875,23.96571428571429,80.625,102.9285714285714,6.290000000000002,
2023-09-13,000.B,18.85646341463415,23.2034355828221,74.3719512195122,96.12883435582822,6.246296296296307,
2023-09-20,000.B,17.3504938271605,22.06441717791411,65.3395061728395,86.16564417177914,6.13774390243903,
2023-09-27,000.B,16.83550000000001,21.11932098765432,61.475,80.84567901234568,6.0109696969697,
2023-10-04,000.B,15.98574999999999,18.35190184049079,57.1,69.74846625766871,5.853696969696963,
2023-10-11,000.B,15.23256097560975,14.97060975609756,53.84756097560975,57.59146341463415,5.764819277108434,
2023-10-18,000.B,14.89567073170733,13.67708074534162,51.45121951219512,52.58385093167702,5.711595092024552,
2023-10-25,000.B,15.11993975903614,13.54859756097559,52.85542168674699,52.65853658536585,5.770783132530119,
2023-11-01,000.B,21.32117283950615,16.18206249999999,84.27777777777777,62.50625,6.203333333333329,
2023-11-08,000.B,21.81837349397591,21.72434782608695,84.855421686747,82.2360248447205,6.289756097560962,
2023-11-15,000.B,22.92365853658535,24.86487951807229,88.77439024390245,93.92771084337349,6.384512195121955,
2023-11-22,000.B,23.07341463414633,25.81749999999999,87.89634146341463,97.32317073170732,6.404355828220857,
2023-11-29,000.B,23.3339393939394,26.18409638554217,85.43030303030304,94.69277108433735,6.391463414634146,
2023-12-06,000.B,23.90231707317072,26.36632530120478,86.3780487804878,92.05421686746988,6.360060240963861,
2023-12-13,000.B,24.15481927710843,26.41975903614454,88.09638554216868,90.95180722891567,6.431506024096383,
2023-12-20,000.B,24.06265060240964,26.41736196319015,86.2710843373494,90.12883435582822,6.468855421686744,
2023-12-27,000.B,23.93030120481927,26.48650306748465,84.25301204819277,88.2760736196319,6.415636363636377,
2024-01-03,000.B,24.1270303030303,26.56987951807229,87.27878787878788,89.46987951807229,6.536287425149697,
2024-01-10,000.B,23.42798742138364,26.52636363636364,82.062893081761,86.96363636363637,6.382298136645972,
2024-01-17,000.B,23.56342465753425,26.4945508982036,80.5,84.1497005988024,6.364638554216872,
2024-01-24,000.B,24.23953333333333,26.72693750000001,86.29333333333334,84.85,6.436347305389219,
2024-01-31,000.B,23.96988023952097,26.68765060240963,85.05988023952096,85.68072289156626,6.410359281437132,
2024-02-07,000.B,24.55247706422018,26.79975903614459,89.31192660550458,88.144578313253,6.582098765432104,
2024-02-14,000.B,24.22632911392406,26.89310559006214,91.50632911392405,90.8944099378882,6.475900621118011,
2024-02-21,000.B,24.25732026143792,26.92734177215192,94.83006535947712,95.67721518987342,6.475222929936302,
2024-02-28,000.B,23.88058823529413,26.89850000000004,91.97058823529412,96.3,6.45322784810128,
2024-03-06,000.B,23.19401960784315,26.65124031007758,87.75490196078431,95.23255813953489,6.439133858267698,
